time,temp_air_c,ssrd_wm2,ssrd_wm2_rad_minus_5,ssrd_wm2_rad_plus_5
2041-07-01 00:00:00,23.326416136820335,0.0,0.0,0.0
2041-07-01 01:00:00,22.889033411592543,0.0,0.0,0.0
2041-07-01 02:00:00,22.56309737488171,0.0,0.0,0.0
2041-07-01 03:00:00,22.444259776782143,0.0,0.0,0.0
2041-07-01 04:00:00,21.894192869035585,0.0,0.0,0.0
2041-07-01 05:00:00,21.5224652974504,0.0,0.0,0.0
2041-07-01 06:00:00,22.006453980202856,31.97574444,30.376957218,33.574531662
2041-07-01 07:00:00,25.18860938696721,188.3528278,178.93518641,197.77046919
2041-07-01 08:00:00,27.125086606290036,389.971125,370.47256875,409.46968125
2041-07-01 09:00:00,28.54575072986855,590.6932158,561.15855501,620.2278765899999
2041-07-01 10:00:00,29.76369501794701,754.5067992,716.78145924,792.2321391600001
2041-07-01 11:00:00,30.677782897648363,861.0203872,817.9693678399999,904.07140656
2041-07-01 12:00:00,31.03815070821532,882.4370033,838.315153135,926.558853465
2041-07-01 13:00:00,30.773554112876116,849.4269722,806.95562359,891.8983208100001
2041-07-01 14:00:00,30.517627527943773,747.8242806,710.4330665699999,785.21549463
2041-07-01 15:00:00,30.164730819646635,610.892325,580.34770875,641.43694125
2041-07-01 16:00:00,29.76838368114004,522.1388667,496.031923365,548.245810035
2041-07-01 17:00:00,28.957640831487744,344.8404028,327.59838266,362.08242294
2041-07-01 18:00:00,28.023467292649578,168.9237694,160.47758093,177.36995787
2041-07-01 19:00:00,26.823665089573048,26.13085833,24.8243154135,27.4374012465
2041-07-01 20:00:00,25.756319921745742,0.0,0.0,0.0
2041-07-01 21:00:00,24.93931943348252,0.0,0.0,0.0
2041-07-01 22:00:00,24.384763108414752,0.0,0.0,0.0
2041-07-01 23:00:00,23.8087220089876,0.0,0.0,0.0
2041-07-02 00:00:00,23.113505475619167,0.0,0.0,0.0
2041-07-02 01:00:00,22.546669860726013,0.0,0.0,0.0
2041-07-02 02:00:00,22.073525338236596,0.0,0.0,0.0
2041-07-02 03:00:00,22.26772949462221,0.0,0.0,0.0
2041-07-02 04:00:00,22.029096515069693,0.0,0.0,0.0
2041-07-02 05:00:00,21.68702988668554,0.0,0.0,0.0
2041-07-02 06:00:00,22.07948864766709,30.50873056,28.983294032,32.034167088000004
2041-07-02 07:00:00,25.379653459629637,187.3732472,178.00458484,196.74190956
2041-07-02 08:00:00,27.541065773938037,390.0430083,370.540857885,409.545158715
2041-07-02 09:00:00,29.14423561272809,587.9252939,558.529029205,617.321558595
2041-07-02 10:00:00,30.370383480583342,766.3203508,728.00433326,804.6363683400001
2041-07-02 11:00:00,31.08195765256228,877.39354,833.523863,921.263217
2041-07-02 12:00:00,31.237559135977342,882.5338375,838.407145625,926.660529375
2041-07-02 13:00:00,30.889429020912072,877.3990778,833.52912391,921.26903169
2041-07-02 14:00:00,30.435657390086927,710.6278306,675.09643907,746.1592221300001
2041-07-02 15:00:00,30.031327837453144,655.226975,622.46562625,687.9883237500001
2041-07-02 16:00:00,29.557243745871062,519.9234472,493.92727484000005,545.9196195600001
2041-07-02 17:00:00,28.63328317568172,323.84,307.648,340.032
2041-07-02 18:00:00,27.676817142237805,150.5712889,143.042724455,158.099853345
2041-07-02 19:00:00,26.597562846749728,25.66752778,24.384151391,26.950904169
2041-07-02 20:00:00,25.67279929992821,0.0,0.0,0.0
2041-07-02 21:00:00,24.913685850744923,0.0,0.0,0.0
2041-07-02 22:00:00,24.453540566334077,0.0,0.0,0.0
2041-07-02 23:00:00,24.00616270956066,0.0,0.0,0.0
2041-07-03 00:00:00,23.364487957425094,0.0,0.0,0.0
2041-07-03 01:00:00,22.989200569414592,0.0,0.0,0.0
2041-07-03 02:00:00,22.64427620137881,0.0,0.0,0.0
2041-07-03 03:00:00,22.76549814734554,0.0,0.0,0.0
2041-07-03 04:00:00,22.3923347660196,0.0,0.0,0.0
2041-07-03 05:00:00,22.036345467422112,0.0,0.0,0.0
2041-07-03 06:00:00,22.24690463745962,29.64400278,28.161802641,31.126202919
2041-07-03 07:00:00,25.278456368852645,180.6901583,171.655650385,189.724666215
2041-07-03 08:00:00,27.42415826461182,384.5478389,365.320446955,403.775230845
2041-07-03 09:00:00,28.808681717903877,584.1538692,554.9461757400001,613.36156266
2041-07-03 10:00:00,29.95613249423688,753.2827036,715.61856842,790.94683878
2041-07-03 11:00:00,30.828739168117195,875.8098178,832.01932691,919.60030869
2041-07-03 12:00:00,31.397258505458183,928.28729,881.8729255,974.7016545
2041-07-03 13:00:00,31.450960977337186,876.2489639,832.436515705,920.061412095
2041-07-03 14:00:00,31.37653776991665,829.7937167,788.304030865,871.283402535
2041-07-03 15:00:00,30.939051171680845,723.7278583,687.5414653849999,759.914251215
2041-07-03 16:00:00,30.240471436005905,577.1056194,548.2503384299999,605.9609003700001
2041-07-03 17:00:00,29.16987244187674,377.1272861,358.270921795,395.983650405
2041-07-03 18:00:00,27.826392528637705,176.888475,168.04405125,185.73289875
2041-07-03 19:00:00,26.434149697258803,28.14820833,26.7407979135,29.5556187465
2041-07-03 20:00:00,25.24209378429797,0.0,0.0,0.0
2041-07-03 21:00:00,24.360562980482463,2.5e-05,2.375e-05,2.625e-05
